Name,job title,headline,summary,keywords,educations,experiences,skills,disqualified,candidate_profile,score
Candidate 1,ruby + (golang/rust) engineer,,,ruby|ruby on rails|postgresql|golang|react,graduate degree artificial intelligence at pontifical catholic university of paraná (jan 2019 to dec 2021)  |   at apple developers academy (jan 2013 to dec 2014)  |  digital games and development at pontifical catholic university of paraná (jan 2013 to dec 2018),senior ruby at  (jan 2024 to n/a)  | senior ruby at  (jan 2021 to n/a)  | engineering manager at delivery center (jan 2020 to dec 2022)  | lead engineer at  (jan 2019 to dec 2020)  | senior software engineer at  (jan 2018 to dec 2019)  | engineering manager at  (jan 2017 to dec 2018)  | software engineer at snowman labs (jan 2017 to dec 2017)  | software engineer at esfera tecnologia da informação (jan 2016 to dec 2017)  | software engineer at soluções vendamais (jan 2016 to dec 2018)  | information technology teacher at pontifícia universidade católica do paraná (jan 2014 to dec 2018)  | video editor at faculdade são braz (jan 2012 to dec 2014),,0,  graduate degree artificial intelligence at pontifical catholic university of paraná (jan 2019 to dec 2021)  |   at apple developers academy (jan 2013 to dec 2014)  |  digital games and development at pontifical catholic university of paraná (jan 2013 to dec 2018) senior ruby at  (jan 2024 to n/a)  | senior ruby at  (jan 2021 to n/a)  | engineering manager at delivery center (jan 2020 to dec 2022)  | lead engineer at  (jan 2019 to dec 2020)  | senior software engineer at  (jan 2018 to dec 2019)  | engineering manager at  (jan 2017 to dec 2018)  | software engineer at snowman labs (jan 2017 to dec 2017)  | software engineer at esfera tecnologia da informação (jan 2016 to dec 2017)  | software engineer at soluções vendamais (jan 2016 to dec 2018)  | information technology teacher at pontifícia universidade católica do paraná (jan 2014 to dec 2018)  | video editor at faculdade são braz (jan 2012 to dec 2014) ,0.08838857857864954
Candidate 2,ruby + (golang/rust) engineer,,,ruby|ruby on rails|golang|react,"análise e desenvolvimento de sistemas, tecnologia da informação at federal university of technology – paraná (n/a to jan 2015)",full stack engineer at tradener (aug 2023 to jan 2024)  | senior software engineer at arctouch - mobile & connected experiences (feb 2021 to may 2023)  | senior software engineer at cws (feb 2020 to feb 2021)  | full stack developer at mercafácil (may 2019 to aug 2019)  | full stack developer at cinq technologies (dec 2018 to may 2019)  | rails engineer at karzen technologies (oct 2018 to dec 2018)  | software developer at ∞ eits (aug 2016 to feb 2017)  | software development intern at itai - instituto de tecnologia aplicada e inovação (aug 2013 to mar 2014),,0,"  análise e desenvolvimento de sistemas, tecnologia da informação at federal university of technology – paraná (n/a to jan 2015) full stack engineer at tradener (aug 2023 to jan 2024)  | senior software engineer at arctouch - mobile & connected experiences (feb 2021 to may 2023)  | senior software engineer at cws (feb 2020 to feb 2021)  | full stack developer at mercafácil (may 2019 to aug 2019)  | full stack developer at cinq technologies (dec 2018 to may 2019)  | rails engineer at karzen technologies (oct 2018 to dec 2018)  | software developer at ∞ eits (aug 2016 to feb 2017)  | software development intern at itai - instituto de tecnologia aplicada e inovação (aug 2013 to mar 2014) ",0.03992366564103264
Candidate 3,ruby + (golang/rust) engineer,,,ruby|ruby on rails|postgresql,"at nagaoka university of technology (jan 2019 to jan 2019)  |  ingeniería informática, gestión de proyectos de tecnología de la información at universidad pública de navarra (jan 2017 to jan 2018)  |  computer systems and artificial intelligence at universidad de guanajuato (jan 2013 to jan 2018)",software developer at apptegy (feb 2021 to jan 2024)  | software developer at thincode (mar 2019 to feb 2021),,0,"  at nagaoka university of technology (jan 2019 to jan 2019)  |  ingeniería informática, gestión de proyectos de tecnología de la información at universidad pública de navarra (jan 2017 to jan 2018)  |  computer systems and artificial intelligence at universidad de guanajuato (jan 2013 to jan 2018) software developer at apptegy (feb 2021 to jan 2024)  | software developer at thincode (mar 2019 to feb 2021) ",0.0
Candidate 4,ruby + (golang/rust) engineer,,,ruby|ruby on rails|golang,cloud computing at pontifical catholic university of minas gerais (jan 2021 to jan 2022)  | bachelor of technology systems development at são paulo state technological college (jan 2013 to jan 2015),senior software engineer at hubstaff (jul 2024 to n/a)  | senior software engineer at mercado livre (apr 2022 to jul 2024)  | senior software engineer at enjoei (may 2021 to apr 2022)  | senior ruby and rails engineer at pagseguro pagbank (aug 2019 to may 2021)  | software engineer at locaweb (jul 2018 to aug 2019)  | software engineer at daitan group (may 2017 to jul 2018)  | rails developer at gympass (nov 2016 to may 2017)  | ruby developer at caiena (jun 2015 to may 2016),,0,  cloud computing at pontifical catholic university of minas gerais (jan 2021 to jan 2022)  | bachelor of technology systems development at são paulo state technological college (jan 2013 to jan 2015) senior software engineer at hubstaff (jul 2024 to n/a)  | senior software engineer at mercado livre (apr 2022 to jul 2024)  | senior software engineer at enjoei (may 2021 to apr 2022)  | senior ruby and rails engineer at pagseguro pagbank (aug 2019 to may 2021)  | software engineer at locaweb (jul 2018 to aug 2019)  | software engineer at daitan group (may 2017 to jul 2018)  | rails developer at gympass (nov 2016 to may 2017)  | ruby developer at caiena (jun 2015 to may 2016) ,0.13738163265320275
Candidate 5,ruby + (golang/rust) engineer,,,ruby|ruby on rails|postgresql,"ingeniería, ingeniería informática at metropolitan university of technology (jan 2011 to jan 2017)",backend developer at papa john's chile (nov 2020 to jun 2021)  | backend developer at mercat (nov 2020 to n/a)  | rails developer at human search (jun 2020 to nov 2020)  | rails developer at 4talent (mar 2019 to may 2019)  | rails developer at felitech consulting (nov 2017 to feb 2019),,0,"  ingeniería, ingeniería informática at metropolitan university of technology (jan 2011 to jan 2017) backend developer at papa john's chile (nov 2020 to jun 2021)  | backend developer at mercat (nov 2020 to n/a)  | rails developer at human search (jun 2020 to nov 2020)  | rails developer at 4talent (mar 2019 to may 2019)  | rails developer at felitech consulting (nov 2017 to feb 2019) ",0.0
Candidate 6,ruby + (golang/rust) engineer,,,ruby|ruby on rails|postgresql|react,"bachelor of science ingeniería informática at university of holguín (jan 2009 to jan 2014)  | certificate (advanced level) examination ,sri lanka year 2007, mathematica at galahitiyawa central college (jan 1996 to jan 2005)",senior developer at followup customer experience (aug 2019 to n/a)  | senior developer at plaglabs (jan 2019 to jul 2019)  | developer at webcarga (aug 2015 to jan 2019),,0,"  bachelor of science ingeniería informática at university of holguín (jan 2009 to jan 2014)  | certificate (advanced level) examination ,sri lanka year 2007, mathematica at galahitiyawa central college (jan 1996 to jan 2005) senior developer at followup customer experience (aug 2019 to n/a)  | senior developer at plaglabs (jan 2019 to jul 2019)  | developer at webcarga (aug 2015 to jan 2019) ",0.0
Candidate 7,lead generator,,,,bachelor of arts sport and social at university of bath (n/a to dec 2014),business development representative at smith.ai (may 2023 to n/a)  | advisorist at  (oct 2022 to mar 2023)  | inside sales executive at dental departures (worldwide) (sep 2021 to mar 2022)  | property manager assistant at trusthome properties (oct 2020 to n/a)  | customer service representative at tui (jul 2018 to jan 2021)  | marketing executive at paris smith (jan 2016 to dec 2017)  | personal assistant at orangetheory fitness (jan 2015 to dec 2015),administration,0,  bachelor of arts sport and social at university of bath (n/a to dec 2014) business development representative at smith.ai (may 2023 to n/a)  | advisorist at  (oct 2022 to mar 2023)  | inside sales executive at dental departures (worldwide) (sep 2021 to mar 2022)  | property manager assistant at trusthome properties (oct 2020 to n/a)  | customer service representative at tui (jul 2018 to jan 2021)  | marketing executive at paris smith (jan 2016 to dec 2017)  | personal assistant at orangetheory fitness (jan 2015 to dec 2015) administration,0.0
Candidate 8,lead generator,,,,,social media manager at regional subdustribution coordinato (jan 2021 to dec 2022)  | community manager junior at tiburonzzito (jan 2019 to dec 2019)  | community manager at sa autocredit (jan 2017 to dec 2019)  | sales manager at spaceland (jan 2017 to dec 2017)  | business development executive at infotech global solutions (n/a to n/a),,0,   social media manager at regional subdustribution coordinato (jan 2021 to dec 2022)  | community manager junior at tiburonzzito (jan 2019 to dec 2019)  | community manager at sa autocredit (jan 2017 to dec 2019)  | sales manager at spaceland (jan 2017 to dec 2017)  | business development executive at infotech global solutions (n/a to n/a) ,0.0
Candidate 9,ruby + (golang/rust) engineer,,,,master of arts irish studies at university of liverpool (sep 2008 to dec 2009)  | bachelor of arts history at university of central florida (aug 2004 to aug 2008),senior recruiter at specialized bicycle components none (apr 2022 to jun 2024),,1,  master of arts irish studies at university of liverpool (sep 2008 to dec 2009)  | bachelor of arts history at university of central florida (aug 2004 to aug 2008) senior recruiter at specialized bicycle components none (apr 2022 to jun 2024) ,0.0
Candidate 10,senior devops engineer - aws,devops engineer,,,"master of science information systems at northeastern university (jan 2015 to dec 2017)  | bachelor of engineering computer science and engineering at university college of engineering, osmania university (jan 2005 to dec 2009)",devops engineer at upstart network (jun 2022 to may 2024)  | senior engineer at blue cross blue shield of massachusetts (nov 2019 to mar 2022)  | internal application developer at tracelink (aug 2017 to nov 2019)  | advanced consultant at opentext technologies (mar 2014 to aug 2014)  | associate at cognizant technologies solutions (dec 2009 to feb 2014),,1,"devops engineer  master of science information systems at northeastern university (jan 2015 to dec 2017)  | bachelor of engineering computer science and engineering at university college of engineering, osmania university (jan 2005 to dec 2009) devops engineer at upstart network (jun 2022 to may 2024)  | senior engineer at blue cross blue shield of massachusetts (nov 2019 to mar 2022)  | internal application developer at tracelink (aug 2017 to nov 2019)  | advanced consultant at opentext technologies (mar 2014 to aug 2014)  | associate at cognizant technologies solutions (dec 2009 to feb 2014) ",0.19742108272260217
Candidate 11,sr software engineer (obj-c & ios exp),,,objective-c|aws|swift,h-vtec technical consultant at são paulo state university (jan 2020 to aug 2022),developer at cria incubator (jul 2023 to n/a)  | developer at santander universidade (aug 2021 to jun 2023)  | professional activities at areal (jan 2002 to n/a)  | technical consultant at hvtec (n/a to n/a),,1,  h-vtec technical consultant at são paulo state university (jan 2020 to aug 2022) developer at cria incubator (jul 2023 to n/a)  | developer at santander universidade (aug 2021 to jun 2023)  | professional activities at areal (jan 2002 to n/a)  | technical consultant at hvtec (n/a to n/a) ,0.0
Candidate 12,ruby + (golang/rust) engineer,,,ruby|ruby on rails|postgresql|react,systems engineering at tecnológico de estudios superiores de ecatepec (feb 2009 to aug 2009),software engineer at cantera digital (mar 2024 to n/a)  | software engineer at arkusnexus (jan 2023 to mar 2023)  | software engineer at homie (jan 2021 to dec 2021)  | software engineer at instafit (jan 2019 to feb 2019),software development|ruby|postgresql|ruby on rails|front-end development|react.js,0,  systems engineering at tecnológico de estudios superiores de ecatepec (feb 2009 to aug 2009) software engineer at cantera digital (mar 2024 to n/a)  | software engineer at arkusnexus (jan 2023 to mar 2023)  | software engineer at homie (jan 2021 to dec 2021)  | software engineer at instafit (jan 2019 to feb 2019) software development|ruby|postgresql|ruby on rails|front-end development|react.js,0.17949955495553946
Candidate 13,ruby + (golang/rust) engineer,,,ruby|ruby on rails|postgresql|react,bachelor computer science at institute of management sciences (peshawar) (n/a to n/a),backend engineer at technerds (n/a to n/a)  | full stack engineer at greenpearls (n/a to n/a),,1,  bachelor computer science at institute of management sciences (peshawar) (n/a to n/a) backend engineer at technerds (n/a to n/a)  | full stack engineer at greenpearls (n/a to n/a) ,0.06055022505021009
Candidate 14,sr software engineer (obj-c & ios exp),senior full-stack blockchain developer at google,,aws|ec2,bachelor of science computer science at university of florida (aug 2007 to may 2011),senior full and stack blockchain developer at google (jan 2018 to n/a)  | stack developer at innovative tech solutions (jun 2013 to dec 2017)  | web developer at tech pioneers (aug 2011 to may 2013),,1,senior full-stack blockchain developer at google  bachelor of science computer science at university of florida (aug 2007 to may 2011) senior full and stack blockchain developer at google (jan 2018 to n/a)  | stack developer at innovative tech solutions (jun 2013 to dec 2017)  | web developer at tech pioneers (aug 2011 to may 2013) ,0.0
Candidate 15,senior devops engineer - aws,senior full-stack blockchain developer at google,,,bachelor of science computer science at university of florida (aug 2007 to may 2011),senior full and stack blockchain developer at google (jan 2018 to n/a)  | stack developer at innovative tech solutions (jun 2013 to dec 2017)  | web developer at tech pioneers (aug 2011 to may 2013),,1,senior full-stack blockchain developer at google  bachelor of science computer science at university of florida (aug 2007 to may 2011) senior full and stack blockchain developer at google (jan 2018 to n/a)  | stack developer at innovative tech solutions (jun 2013 to dec 2017)  | web developer at tech pioneers (aug 2011 to may 2013) ,0.07688066300688493
