Name,job title,headline,summary,keywords,educations,experiences,skills,candidate_profile,disqualified,normalized_prediction_score,prediction
Candidate 4,Ruby + (Golang/Rust) Engineer,nan,,ruby|ruby on rails|Golang,Cloud Computing at Pontifical Catholic University of Minas Gerais (Jan 2021 to Jan 2022)  | Bachelor of Technology Systems Development at São Paulo State Technological College (Jan 2013 to Jan 2015),Senior Software Engineer at Hubstaff (Jul 2024 to N/A)  | Senior Software Engineer at Mercado Livre (Apr 2022 to Jul 2024)  | Senior Software Engineer at enjoei (May 2021 to Apr 2022)  | Senior Ruby and Rails Engineer at PagSeguro PagBank (Aug 2019 to May 2021)  | Software Engineer at Locaweb (Jul 2018 to Aug 2019)  | Software Engineer at Daitan Group (May 2017 to Jul 2018)  | Rails Developer at Gympass (Nov 2016 to May 2017)  | Ruby Developer at Caiena (Jun 2015 to May 2016),nan,nan  Cloud Computing at Pontifical Catholic University of Minas Gerais (Jan 2021 to Jan 2022)  | Bachelor of Technology Systems Development at São Paulo State Technological College (Jan 2013 to Jan 2015) Senior Software Engineer at Hubstaff (Jul 2024 to N/A)  | Senior Software Engineer at Mercado Livre (Apr 2022 to Jul 2024)  | Senior Software Engineer at enjoei (May 2021 to Apr 2022)  | Senior Ruby and Rails Engineer at PagSeguro PagBank (Aug 2019 to May 2021)  | Software Engineer at Locaweb (Jul 2018 to Aug 2019)  | Software Engineer at Daitan Group (May 2017 to Jul 2018)  | Rails Developer at Gympass (Nov 2016 to May 2017)  | Ruby Developer at Caiena (Jun 2015 to May 2016) nan,0,100.0,0.78
Candidate 2,Ruby + (Golang/Rust) Engineer,nan,,ruby|ruby on rails|Golang|React,"Análise E Desenvolvimento De Sistemas, Tecnologia Da Informação at Federal University of Technology – Paraná (N/A to Jan 2015)",Full Stack Engineer at Tradener (Aug 2023 to Jan 2024)  | Senior Software Engineer at ArcTouch - Mobile & Connected Experiences (Feb 2021 to May 2023)  | Senior Software Engineer at CWS (Feb 2020 to Feb 2021)  | Full Stack Developer at Mercafácil (May 2019 to Aug 2019)  | Full Stack Developer at CINQ Technologies (Dec 2018 to May 2019)  | Rails Engineer at KARZEN Technologies (Oct 2018 to Dec 2018)  | Software Developer at ∞ eits (Aug 2016 to Feb 2017)  | Software Development Intern at ITAI - Instituto de Tecnologia Aplicada e Inovação (Aug 2013 to Mar 2014),nan,"nan  Análise E Desenvolvimento De Sistemas, Tecnologia Da Informação at Federal University of Technology – Paraná (N/A to Jan 2015) Full Stack Engineer at Tradener (Aug 2023 to Jan 2024)  | Senior Software Engineer at ArcTouch - Mobile & Connected Experiences (Feb 2021 to May 2023)  | Senior Software Engineer at CWS (Feb 2020 to Feb 2021)  | Full Stack Developer at Mercafácil (May 2019 to Aug 2019)  | Full Stack Developer at CINQ Technologies (Dec 2018 to May 2019)  | Rails Engineer at KARZEN Technologies (Oct 2018 to Dec 2018)  | Software Developer at ∞ eits (Aug 2016 to Feb 2017)  | Software Development Intern at ITAI - Instituto de Tecnologia Aplicada e Inovação (Aug 2013 to Mar 2014) nan",0,91.02564102564101,0.71
Candidate 33,Senior DevOps Engineer - AWS,nan,,,"Ingeniería, Ingeniería Eléctrica, Electrónica Y De Comunicaciones at National Polytechnic Institute College of Engineering and Physical-Mathematic Sciences (Jan 2010 to Jan 2014)","Cloud Engineer at Amarello (Apr 2024 to N/A)  | Devops Enginner at hobops.io (Jan 2023 to Jun 2024)  | Devops Engineer and Developer at AT&T, México (Oct 2016 to Dec 2022)",nan,"nan  Ingeniería, Ingeniería Eléctrica, Electrónica Y De Comunicaciones at National Polytechnic Institute College of Engineering and Physical-Mathematic Sciences (Jan 2010 to Jan 2014) Cloud Engineer at Amarello (Apr 2024 to N/A)  | Devops Enginner at hobops.io (Jan 2023 to Jun 2024)  | Devops Engineer and Developer at AT&T, México (Oct 2016 to Dec 2022) nan",0,89.74358974358974,0.7
Candidate 1,Ruby + (Golang/Rust) Engineer,nan,,ruby|ruby on rails|postgresql|Golang|React,Graduate Degree Artificial Intelligence at Pontifical Catholic University of Paraná (Jan 2019 to Dec 2021)  |   at Apple Developers Academy (Jan 2013 to Dec 2014)  |  Digital Games and Development at Pontifical Catholic University of Paraná (Jan 2013 to Dec 2018),Senior Ruby at  (Jan 2024 to N/A)  | Senior Ruby at  (Jan 2021 to N/A)  | Engineering Manager at Delivery Center (Jan 2020 to Dec 2022)  | Lead Engineer at  (Jan 2019 to Dec 2020)  | Senior Software Engineer at  (Jan 2018 to Dec 2019)  | Engineering Manager at  (Jan 2017 to Dec 2018)  | Software Engineer at Snowman Labs (Jan 2017 to Dec 2017)  | Software Engineer at Esfera Tecnologia da Informação (Jan 2016 to Dec 2017)  | Software Engineer at Soluções VendaMais (Jan 2016 to Dec 2018)  | Information Technology Teacher at Pontifícia Universidade Católica do Paraná (Jan 2014 to Dec 2018)  | Video Editor at FACULDADE SÃO BRAZ (Jan 2012 to Dec 2014),nan,nan  Graduate Degree Artificial Intelligence at Pontifical Catholic University of Paraná (Jan 2019 to Dec 2021)  |   at Apple Developers Academy (Jan 2013 to Dec 2014)  |  Digital Games and Development at Pontifical Catholic University of Paraná (Jan 2013 to Dec 2018) Senior Ruby at  (Jan 2024 to N/A)  | Senior Ruby at  (Jan 2021 to N/A)  | Engineering Manager at Delivery Center (Jan 2020 to Dec 2022)  | Lead Engineer at  (Jan 2019 to Dec 2020)  | Senior Software Engineer at  (Jan 2018 to Dec 2019)  | Engineering Manager at  (Jan 2017 to Dec 2018)  | Software Engineer at Snowman Labs (Jan 2017 to Dec 2017)  | Software Engineer at Esfera Tecnologia da Informação (Jan 2016 to Dec 2017)  | Software Engineer at Soluções VendaMais (Jan 2016 to Dec 2018)  | Information Technology Teacher at Pontifícia Universidade Católica do Paraná (Jan 2014 to Dec 2018)  | Video Editor at FACULDADE SÃO BRAZ (Jan 2012 to Dec 2014) nan,0,88.46153846153845,0.69
Candidate 35,Senior DevOps Engineer - AWS,nan,,,"Computer Systems, Networking and Telecommunications at Universidad Politécnica del Estado de Durango (Jan 2016 to Jan 2020)",Lead Systems Engeenier at EPAM Systems (Feb 2024 to N/A)  | Devops Engineer at EPAM Systems (Jun 2022 to N/A)  | Devops Engineer at IBM (Nov 2021 to Jun 2022)  | Devops Engineer at Softtek (Oct 2019 to Nov 2021),nan,"nan  Computer Systems, Networking and Telecommunications at Universidad Politécnica del Estado de Durango (Jan 2016 to Jan 2020) Lead Systems Engeenier at EPAM Systems (Feb 2024 to N/A)  | Devops Engineer at EPAM Systems (Jun 2022 to N/A)  | Devops Engineer at IBM (Nov 2021 to Jun 2022)  | Devops Engineer at Softtek (Oct 2019 to Nov 2021) nan",0,84.61538461538461,0.66
Candidate 34,Senior DevOps Engineer - AWS,nan,,,Bachelor of Science Computer Science at Universidad Tecnológica de Guadalajara ( UTEG ) (Jan 2010 to Jan 2014),"Devops Engineer, Release Engineer and Automation Engineer at AstraZeneca (May 2021 to N/A)  | Devops Engineer and Release Engineer at AstraZeneca (Nov 2018 to Apr 2021)  | Software Developer at HCL Technologies (Mar 2018 to Nov 2018)  | Software Developer at Dextra Technologies (Aug 2017 to Feb 2018)  | Software Developer and Business Analyst at Amdocs (Apr 2016 to Aug 2017)  | Software Developer at Softtek (Jul 2015 to Mar 2016)  | Software Developer at Tata Consultancy Services (Nov 2013 to Jul 2015)",nan,"nan  Bachelor of Science Computer Science at Universidad Tecnológica de Guadalajara ( UTEG ) (Jan 2010 to Jan 2014) Devops Engineer, Release Engineer and Automation Engineer at AstraZeneca (May 2021 to N/A)  | Devops Engineer and Release Engineer at AstraZeneca (Nov 2018 to Apr 2021)  | Software Developer at HCL Technologies (Mar 2018 to Nov 2018)  | Software Developer at Dextra Technologies (Aug 2017 to Feb 2018)  | Software Developer and Business Analyst at Amdocs (Apr 2016 to Aug 2017)  | Software Developer at Softtek (Jul 2015 to Mar 2016)  | Software Developer at Tata Consultancy Services (Nov 2013 to Jul 2015) nan",0,84.61538461538461,0.66
Candidate 12,Ruby + (Golang/Rust) Engineer,nan,,ruby|ruby on rails|postgresql|React,Systems Engineering at Tecnológico de Estudios Superiores de Ecatepec (Feb 2009 to Aug 2009),Software Engineer at Cantera Digital (Mar 2024 to N/A)  | Software Engineer at Arkusnexus (Jan 2023 to Mar 2023)  | Software Engineer at Homie (Jan 2021 to Dec 2021)  | Software Engineer at InstaFit (Jan 2019 to Feb 2019),Software Development|Ruby|PostgreSQL|Ruby on Rails|Front-End Development|React.js,nan  Systems Engineering at Tecnológico de Estudios Superiores de Ecatepec (Feb 2009 to Aug 2009) Software Engineer at Cantera Digital (Mar 2024 to N/A)  | Software Engineer at Arkusnexus (Jan 2023 to Mar 2023)  | Software Engineer at Homie (Jan 2021 to Dec 2021)  | Software Engineer at InstaFit (Jan 2019 to Feb 2019) Software Development|Ruby|PostgreSQL|Ruby on Rails|Front-End Development|React.js,0,83.33333333333334,0.65
Candidate 186,Senior Ruby on Rails Developer,"Web developer for challenges, Game developer for fun and Writer for love. What's next","web developer for challenges, game developer for fun, and writer for love. the programming languages ​​that i had the opportunity to work with are: ruby, javascript and python. i am interested in application scalability, infrastructure, development best practices, tdd, bdd and backend.",ruby on rails|backend|Rails,at Federal University of Paraíba (Jan 2014 to Jan 2018),"Backend Ruby on Rails at Impulso (Nov 2020 to N/A)  | Fullstack Developer at Iris Digital Wealth (Nov 2019 to Oct 2020)  | Back-End Ruby on Rails at Fractal Tecnologia (Aug 2018 to Oct 2019)  | Web Developer and Writer at Mestre Sem Player (May 2017 to Sep 2017)  | Game Developer at Tempo Livre Games (Apr 2017 to Oct 2017)  | Web Developer and Intern at Instituto Federal De Educação, Ciência E Tecnologia Da Paraiba (Aug 2016 to Jul 2018)",shell|hack|ruby|python|c#|php|html|javascript|java,"Web developer for challenges, Game developer for fun and Writer for love. What's next web developer for challenges, game developer for fun, and writer for love. the programming languages ​​that i had the opportunity to work with are: ruby, javascript and python. i am interested in application scalability, infrastructure, development best practices, tdd, bdd and backend. at Federal University of Paraíba (Jan 2014 to Jan 2018) Backend Ruby on Rails at Impulso (Nov 2020 to N/A)  | Fullstack Developer at Iris Digital Wealth (Nov 2019 to Oct 2020)  | Back-End Ruby on Rails at Fractal Tecnologia (Aug 2018 to Oct 2019)  | Web Developer and Writer at Mestre Sem Player (May 2017 to Sep 2017)  | Game Developer at Tempo Livre Games (Apr 2017 to Oct 2017)  | Web Developer and Intern at Instituto Federal De Educação, Ciência E Tecnologia Da Paraiba (Aug 2016 to Jul 2018) shell|hack|ruby|python|c#|php|html|javascript|java",0,82.05128205128204,0.64
Candidate 3,Ruby + (Golang/Rust) Engineer,nan,,ruby|ruby on rails|postgresql,"at Nagaoka University of Technology (Jan 2019 to Jan 2019)  |  Ingeniería Informática, Gestión De Proyectos De Tecnología De La Información at Universidad Pública de Navarra (Jan 2017 to Jan 2018)  |  Computer Systems and Artificial Intelligence at Universidad de Guanajuato (Jan 2013 to Jan 2018)",Software Developer at Apptegy (Feb 2021 to Jan 2024)  | Software Developer at Thincode (Mar 2019 to Feb 2021),nan,"nan  at Nagaoka University of Technology (Jan 2019 to Jan 2019)  |  Ingeniería Informática, Gestión De Proyectos De Tecnología De La Información at Universidad Pública de Navarra (Jan 2017 to Jan 2018)  |  Computer Systems and Artificial Intelligence at Universidad de Guanajuato (Jan 2013 to Jan 2018) Software Developer at Apptegy (Feb 2021 to Jan 2024)  | Software Developer at Thincode (Mar 2019 to Feb 2021) nan",0,80.76923076923077,0.63
Candidate 20,Lead Generator,nan,,,"Economia, Gestão at Federal University of Juiz de Fora (Jan 2018 to Jan 2022)",Business Development Manager at WEPayments (Apr 2024 to N/A)  | Global Sales Development Representative at FacilitaPay (Jan 2023 to Apr 2024)  | Sales Development Representative at FaçaAgora! (Mar 2021 to Jan 2023)  | Diretor De Projetos at Campe Consultoria Jr. (Jul 2020 to Dec 2020)  | Gerente De Negócios at Campe Consultoria Jr. (Feb 2020 to Jul 2020)  | Gerente De Projetos at Campe Consultoria Jr. (Jan 2020 to Jul 2020)  | Bolsista De Iniciação Científica at Universidade Federal de Juiz de Fora (Aug 2019 to Feb 2020)  | Consultor De Projetos at Campe Consultoria Jr. (Aug 2019 to Jan 2020),nan,"nan  Economia, Gestão at Federal University of Juiz de Fora (Jan 2018 to Jan 2022) Business Development Manager at WEPayments (Apr 2024 to N/A)  | Global Sales Development Representative at FacilitaPay (Jan 2023 to Apr 2024)  | Sales Development Representative at FaçaAgora! (Mar 2021 to Jan 2023)  | Diretor De Projetos at Campe Consultoria Jr. (Jul 2020 to Dec 2020)  | Gerente De Negócios at Campe Consultoria Jr. (Feb 2020 to Jul 2020)  | Gerente De Projetos at Campe Consultoria Jr. (Jan 2020 to Jul 2020)  | Bolsista De Iniciação Científica at Universidade Federal de Juiz de Fora (Aug 2019 to Feb 2020)  | Consultor De Projetos at Campe Consultoria Jr. (Aug 2019 to Jan 2020) nan",0,80.76923076923077,0.63
